,Accession,Age,Age units,Biosample age,Biosample classification,Biosample term name,Biosample treatment,Biosample treatment purpose,Biosample treatment type details,Child biosamples,Culture harvest date,Date obtained,Description,ID,Lab,Life stage,Modification category,Modification method,Modification purpose,Modification site,Modification site introduced gene organism,Modification site target organism,Organism,Post-synchronization time,Post-synchronization time units,Source,Status,Summary,Synchronization,isogenic_replicates
2386,ENCBS792ZTG,78,year,78 years,tissue,skin epidermis,,,,,,2018-04-04,tissue collected during keratinocyte carcinoma removal surgery under supervision of Maryam Asgari. These cells contain no tumor.,/biosamples/ENCBS792ZTG/,"Bradley Bernstein, Broad",adult,,,,,,,Homo sapiens,,,"Maryam M. Asgari, MD, MPH",released,Homo sapiens male adult (78 years) skin epidermis tissue,,
2387,ENCBS793AAJ,85,year,85 years,tissue,posterior cingulate gyrus,,,,,,,,/biosamples/ENCBS793AAJ/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Rush University,released,Homo sapiens female adult (85 years) posterior cingulate gyrus tissue,,
2388,ENCBS793DBC,53,year,53 years,tissue,spleen,,,,,,2015-01-01,EnTEX: Spleen,/biosamples/ENCBS793DBC/,"Bradley Bernstein, Broad",adult,,,,,,,Homo sapiens,,,Kristin Ardlie,released,Homo sapiens female adult (53 years) spleen tissue,,ENCBS913XPU
2389,ENCBS793OSQ,unknown,,,cell line,GM21576,,,,,2017-01-13,,"GM21576 LCLs; Donor from the Maasai in Kinyawa, Kenya (MKK)",/biosamples/ENCBS793OSQ/,"Stephen Montgomery, Stanford",adult,,,,,,,Homo sapiens,,,Coriell,released,Homo sapiens GM21576 cell line,,
2390,ENCBS793PDT,22,year,22 years,cell line,AG10803,,,,,,,"abdominal skin fibroblasts from apparently healthy 22 year old, 8% of the cells examined showing random chromosome loss, 2% showing random chromosome gain, and 2% showing 69,XYY -Coriell",/biosamples/ENCBS793PDT/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Coriell,released,Homo sapiens AG10803 cell line,,ENCBS065SFO
2391,ENCBS793WFJ,37,year,37 years,primary cell,natural killer cell,,,,,,,Flow sorted CD56+ cells from a 37 year old healthy Hispanic male. Cells provided by the Shelly Heimfeld lab at FHCRC.,/biosamples/ENCBS793WFJ/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Shelly Heimfeld,released,Homo sapiens male adult (37 years) natural killer primary cell,,
2392,ENCBS794VBE,30,year,30 years,cell line,WTC11,,,,,,,,/biosamples/ENCBS794VBE/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Yin Shen,released,Homo sapiens WTC11 cell line,,ENCBS348ZLD
2393,ENCBS795CPS,47,year,47 years,tissue,ureter,,,,,,2017-11-28,,/biosamples/ENCBS795CPS/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,"Yiing Lin, MD, PhD",released,"Homo sapiens female adult (47 years) ureter tissue, preserved by flash-freezing",,
2394,ENCBS795JJT,unknown,,,primary cell,B cell,,,,,,,Flow sorted CD19+ B cells from cord blood. Cells provided by FHCRC.,/biosamples/ENCBS795JJT/,"Bradley Bernstein, Broad",unknown,,,,,,,Homo sapiens,,,Unknown Source,released,Homo sapiens B primary cell,,ENCBS954WIM
2395,ENCBS795LPE,38,year,38 years,primary cell,"activated naive CD4-positive, alpha-beta T cell","anti-CD3 and anti-CD28 coated beads,Interleukin-2",activation,,,,,,/biosamples/ENCBS795LPE/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,AllCells,released,"Homo sapiens male adult (38 years) activated naive CD4-positive, alpha-beta T primary cell treated with anti-CD3 and anti-CD28 coated beads for 16 hours, 50 U/mL Interleukin-2 for 16 hours",,
2396,ENCBS795XRV,90 or above,year,90 or above years,tissue,head of caudate nucleus,,,,,,,,/biosamples/ENCBS795XRV/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Rush University,released,Homo sapiens female adult (90 or above years) with mild cognitive impairment; head of caudate nucleus tissue,,
2397,ENCBS796BFF,33,year,33 years,primary cell,activated T-cell,"anti-CD3 and anti-CD28 coated beads,Interleukin-2",activation,,,,,,/biosamples/ENCBS796BFF/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,AllCells,released,"Homo sapiens female adult (33 years) activated T-cell primary cell treated with anti-CD3 and anti-CD28 coated beads for 48 hours, 50 U/mL Interleukin-2 for 48 hours",,
2398,ENCBS796DOZ,38,year,38 years,primary cell,"CD8-positive, alpha-beta T cell",,,,,,,,/biosamples/ENCBS796DOZ/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,AllCells,released,"Homo sapiens male adult (38 years) CD8-positive, alpha-beta T primary cell",,
2399,ENCBS796DWQ,unknown,,,tissue,testis,,,,,,,"Fetal testicular tissue from a pool of healthy male fetuses from Ian Glass of University of Washington, Congenital Defects Lab.",/biosamples/ENCBS796DWQ/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,Ian Glass,released,Homo sapiens male embryo testis tissue,,
2400,ENCBS796IDC,38,year,38 years,primary cell,"stimulated activated CD4-positive, alpha-beta T cell","anti-CD3 and anti-CD28 coated beads,TNF-alpha","activation,stimulation",,,,,,/biosamples/ENCBS796IDC/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,AllCells,released,"Homo sapiens male adult (38 years) stimulated activated CD4-positive, alpha-beta T primary cell treated with anti-CD3 and anti-CD28 coated beads for 1 hour, 100 ng/mL TNF-alpha for 1 hour",,
2401,ENCBS796LYI,54,year,54 years,cell line,RWPE2,,,,,2015-08-14,,RWPE-2 cells were derived from RWPE-1 cells (ATCC CRL-11609) by transformation with Ki-ras using the Kirsten murine sarcoma virus (Ki-MuSV). Epithelial cells from the peripheral zone of a histologically normal adult human prostate were transfected with a plasmid carrying one copy of the human papilloma virus 18 (HPV-18) genome to establish the RWPE-1 cell line (ATCC CRL-11609).,/biosamples/ENCBS796LYI/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,ATCC,released,Homo sapiens RWPE2 cell line,,ENCBS942OEI
2402,ENCBS796RBE,98,day,98 days,tissue,left kidney,,,,,,,"Left side kidney tissue from a healthy day 98 female fetus from Ian Glass of University of Washington, Congenital Defects Lab.",/biosamples/ENCBS796RBE/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,Ian Glass,released,Homo sapiens female embryo (98 days) left kidney tissue,,
2403,ENCBS797BYT,103,day,103 days,tissue,retina,,,,,,,,/biosamples/ENCBS797BYT/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,Thomas Reh,released,Homo sapiens male embryo (103 days) retina tissue,,ENCBS704PVR
2404,ENCBS797LUE,86,year,86 years,tissue,dorsolateral prefrontal cortex,,,,,,,,/biosamples/ENCBS797LUE/,"Bradley Bernstein, Broad",adult,,,,,,,Homo sapiens,,,Rush University,released,Homo sapiens female adult (86 years) with Alzheimer's disease; dorsolateral prefrontal cortex tissue,,
2405,ENCBS799DMW,37,year,37 years,tissue,body of pancreas,,,,,,,,/biosamples/ENCBS799DMW/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,Kristin Ardlie,released,Homo sapiens male adult (37 years) body of pancreas tissue,,
2406,ENCBS799TTR,24,year,24 years,primary cell,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",,,,,,,,/biosamples/ENCBS799TTR/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,AllCells,released,"Homo sapiens male adult (24 years) CD4-positive, CD25-positive, alpha-beta regulatory T primary cell",,
2407,ENCBS799XTS,84,year,84 years,tissue,medulla oblongata,,,,,,,,/biosamples/ENCBS799XTS/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Thomas Montine,released,Homo sapiens male adult (84 years) medulla oblongata tissue,,ENCBS433NBX
2408,ENCBS800HVV,42,year,42 years,primary cell,"activated naive CD8-positive, alpha-beta T cell","anti-CD3 and anti-CD28 coated beads,Interleukin-2",activation,,,,,,/biosamples/ENCBS800HVV/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,AllCells,released,"Homo sapiens male adult (42 years) activated naive CD8-positive, alpha-beta T primary cell treated with anti-CD3 and anti-CD28 coated beads for 16 hours, 50 U/mL Interleukin-2 for 16 hours",,
2409,ENCBS800IAL,53,year,53 years,in vitro differentiated cells,glutamatergic neuron,,,,,,,,/biosamples/ENCBS800IAL/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,AllCells,released,Homo sapiens male adult (53 years) glutamatergic neuron in vitro differentiated cells,,ENCBS761ZFJ
2410,ENCBS800QIW,15,year,15 years,cell line,HepG2,,,,,,,,/biosamples/ENCBS800QIW/,"John Stamatoyannopoulos, UW",child,,,,,,,Homo sapiens,,,ATCC,released,Homo sapiens HepG2 cell line,,ENCBS048XFP
2411,ENCBS800QLP,unknown,,,primary cell,"CD4-positive, alpha-beta memory T cell",,,,,,,Isoform CD45RO+ memory CD4+ T cells from a pool of leukopacks from healthy donors provided by Dana Farber Cancer Institute.,/biosamples/ENCBS800QLP/,"Bradley Bernstein, Broad",unknown,,,,,,,Homo sapiens,,,Unknown Source,released,"Homo sapiens CD4-positive, alpha-beta memory T primary cell",,ENCBS037RPE
2412,ENCBS801AYF,unknown,,,primary cell,skeletal muscle satellite cell,,,,,,,"Muscle satellite cells expanded from muscle spindle cells. Differentiated in vivo from mesoderm cells. Cells provided by Duke University (Muoio et al; Diabetes 51, 901.2002. PMID: 11916905)",/biosamples/ENCBS801AYF/,"Bradley Bernstein, Broad",adult,,,,,,,Homo sapiens,,,Unknown Source,released,Homo sapiens female adult skeletal muscle satellite primary cell originated from mesodermal cell,,"ENCBS314QQU,ENCBS706NOO"
2413,ENCBS801NKM,53,year,53 years,tissue,ascending aorta,,,,,,2015-01-01,EnTEX: Artery- Aorta,/biosamples/ENCBS801NKM/,"Bradley Bernstein, Broad",adult,,,,,,,Homo sapiens,,,Kristin Ardlie,released,Homo sapiens female adult (53 years) ascending aorta tissue,,
2414,ENCBS802DIQ,90 or above,year,90 or above years,tissue,dorsolateral prefrontal cortex,,,,,,,,/biosamples/ENCBS802DIQ/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Rush University,released,Homo sapiens female adult (90 or above years) with mild cognitive impairment; dorsolateral prefrontal cortex tissue,,
2415,ENCBS802IAU,unknown,,,primary cell,"naive thymus-derived CD4-positive, alpha-beta T cell",,,,,,,"Naive CD4+, CD45RA+ helper T cells from a pool of healthy donors provided by Dana Farber Cancer Institute.",/biosamples/ENCBS802IAU/,"Bradley Bernstein, Broad",unknown,,,,,,,Homo sapiens,,,Unknown Source,released,"Homo sapiens naive thymus-derived CD4-positive, alpha-beta T primary cell",,
2416,ENCBS802MPM,108,day,108 days,tissue,large intestine,,,,,,,"Large intestine tissue from a healthy day 108 male fetus from Ian Glass of University of Washington, Congenital Defects Lab.",/biosamples/ENCBS802MPM/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,Ian Glass,released,Homo sapiens male embryo (108 days) large intestine tissue,,
2417,ENCBS803DCZ,115,day,115 days,tissue,right kidney,,,,,,,"Right side kidney tissue from a healthy day 115 male fetus from Ian Glass of University of Washington, Congenital Defects Lab.",/biosamples/ENCBS803DCZ/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,Ian Glass,released,Homo sapiens male embryo (115 days) right kidney tissue,,
2418,ENCBS803LGZ,42,year,42 years,primary cell,"central memory CD4-positive, alpha-beta T cell",,,,,,,,/biosamples/ENCBS803LGZ/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,AllCells,released,"Homo sapiens male adult (42 years) central memory CD4-positive, alpha-beta T primary cell",,
2419,ENCBS803RZJ,87,year,87 years,tissue,posterior cingulate gyrus,,,,,,,,/biosamples/ENCBS803RZJ/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Rush University,released,"Homo sapiens female adult (87 years) with Cognitive impairment, Alzheimer's disease; posterior cingulate gyrus tissue",,
2420,ENCBS804RUL,84,year,84 years,tissue,midbrain,,,,,,,,/biosamples/ENCBS804RUL/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Thomas Montine,released,Homo sapiens male adult (84 years) midbrain tissue,,ENCBS278TPS
2421,ENCBS805DMB,54,year,54 years,cell line,T47D,,,,,,,epithelial cell line derived from a mammary ductal carcinoma.,/biosamples/ENCBS805DMB/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,ATCC,released,Homo sapiens T47D cell line,,ENCBS440ENC
2422,ENCBS805ZNK,unknown,,,in vitro differentiated cells,neuronal stem cell,,,,,,,Human embryonic stem cells received from the James Thomson laboratory. Cells are from the H1 line and are differentiated into neural progenitor cells under the following protocol: [doi:10.1016/j.cell.2013.04.022].,/biosamples/ENCBS805ZNK/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,James Thomson,released,Homo sapiens male embryo neuronal stem in vitro differentiated cells originated from H1,,ENCBS104PYO
2423,ENCBS806FFM,unknown,,,in vitro differentiated cells,trophoblast cell,,,,,,,Human embryonic stem cells received from the James Thomson laboratory. Cells are from the H1 line and are differentiated into trophoblast by culturing in mTeSR1 medium without bFGF containing 50ng/mL BMP4 for 5 days.,/biosamples/ENCBS806FFM/,"Bing Ren, UCSD",embryonic,,,,,,,Homo sapiens,,,James Thomson,released,Homo sapiens male embryo trophoblast in vitro differentiated cells originated from H1,,ENCBS376RZJ
2424,ENCBS806GZL,2,year,2 years,cell line,BE2C,,,,,,,,/biosamples/ENCBS806GZL/,"John Stamatoyannopoulos, UW",child,,,,,,,Homo sapiens,,,ATCC,released,Homo sapiens BE2C cell line,,ENCBS538FCD
2425,ENCBS806KLM,unknown,,,in vitro differentiated cells,cardiac muscle cell,,,,,,,,/biosamples/ENCBS806KLM/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,John Stamatoyannopoulos,released,Homo sapiens embryo cardiac muscle in vitro differentiated cells originated from RUES2,,ENCBS343AKO
2426,ENCBS806LNI,unknown,,,cell line,GM18520,,,,,2017-01-27,,"GM18520 LCLs; Donor from the Yoruba in Ibadan, Nigeria (YRI)",/biosamples/ENCBS806LNI/,"Stephen Montgomery, Stanford",adult,,,,,,,Homo sapiens,,,Coriell,released,Homo sapiens GM18520 cell line,,
2427,ENCBS806OYT,unknown,,,cell line,GM19452,,,,,2016-12-16,,"GM19452 LCLs; Donor from the Luhya in Webuye, Kenya (LWK)",/biosamples/ENCBS806OYT/,"Stephen Montgomery, Stanford",adult,,,,,,,Homo sapiens,,,Coriell,released,Homo sapiens GM19452 cell line,,
2428,ENCBS806SDX,47,year,47 years,tissue,lung,,,,,,2017-11-28,,/biosamples/ENCBS806SDX/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,"Yiing Lin, MD, PhD",released,"Homo sapiens female adult (47 years) lung tissue, preserved by flash-freezing",,
2429,ENCBS807WMR,58,year,58 years,cell line,RCC 7860,,,,,,,Renal cell adenocarcinmoma,/biosamples/ENCBS807WMR/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,ATCC,released,Homo sapiens RCC 7860 cell line,,ENCBS413VCR
2430,ENCBS808KRF,47,year,47 years,tissue,psoas muscle,,,,,,2017-11-28,,/biosamples/ENCBS808KRF/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,"Yiing Lin, MD, PhD",released,"Homo sapiens female adult (47 years) psoas muscle tissue, preserved by flash-freezing",,
2431,ENCBS808QXV,unknown,,,primary cell,"CD4-positive, alpha-beta T cell",,,,,,,"CD25- Th is one of CD4+ T cell subsets that purified by microbeads, LS column and FACS",/biosamples/ENCBS808QXV/,"Bradley Bernstein, Broad",unknown,,,,,,,Homo sapiens,,,Unknown Source,released,"Homo sapiens CD4-positive, alpha-beta T primary cell",,ENCBS976AOQ
2432,ENCBS808UWK,5,day,5 days,cell line,H9,,,,,,,"Human embryonic stem cells received from the James Thomson laboratory. Cells are from the H9 line and maintained on mTeSR medium. This human ES cell line expresses cell surface markers specific to undifferentiated nonhuman primate ES and human EC cells: stage-specific embryonic antigen SEA (u20133), SSEA-4, TRA-l-60, TRA-1- 81, and alkaline phosphatase. It has a normal 46, XX karyotype.",/biosamples/ENCBS808UWK/,"Bing Ren, UCSD",embryonic,,,,,,,Homo sapiens,,,James Thomson,released,Homo sapiens H9 cell line,,ENCBS532LWE
2433,ENCBS810EWQ,22,year,22 years,cell line,NT2/D1,,,,,,,"malignant pluripotent embryonal carcinoma (NTera-2), The NTERA-2 cl.D1 cell line is a pluripotent human testicular embryonal carcinoma cell line derived by cloning the NTERA-2 cell line. - ATCC. (PMID: 6694356)",/biosamples/ENCBS810EWQ/,"Peggy Farnham, USC",unknown,,,,,,,Homo sapiens,,,ATCC,released,Homo sapiens NT2/D1 cell line,,
2434,ENCBS810OKS,unknown,,,primary cell,foreskin keratinocyte,,,,,,,Foreskin keratinocytes from a newborn healthy male donor provided by . Fibroblasts were cultured in Invitrogen 154CF + HKGS + .07mM Ca medium.,/biosamples/ENCBS810OKS/,"Joseph Costello, UCSF",newborn,,,,,,,Homo sapiens,,,Unknown Source,released,Homo sapiens male newborn foreskin keratinocyte primary cell,,
2435,ENCBS810TWL,41,year,41 years,cell line,LHCN-M2,,,,,,,"skeletal myoblasts derived from satellite cells from the pectoralis major muscle of a 41 year old caucasian heart transplant donor, immortalized with lox-hygro-hTERT (LH), and Cdk4-neo (CN), Zhu et al. (2007) in Aging Cell, vol. 6, pp 515-523, newly promoted to tier 2: not in 2011 analysis.",/biosamples/ENCBS810TWL/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Unknown Source,released,Homo sapiens LHCN-M2 cell line,,ENCBS233AAA
2436,ENCBS812CKJ,unknown,,,primary cell,"CD8-positive, alpha-beta memory T cell",,,,,,,"CD8+, CD45RO+ memory T cells from a pool of leukopacks from healthy donors provided by Dana Farber Cancer Institute.",/biosamples/ENCBS812CKJ/,"Bradley Bernstein, Broad",unknown,,,,,,,Homo sapiens,,,Unknown Source,released,"Homo sapiens CD8-positive, alpha-beta memory T primary cell",,ENCBS771DYQ
2437,ENCBS812KQP,4,year,4 years,cell line,Daoy,,,,,,,,/biosamples/ENCBS812KQP/,"John Stamatoyannopoulos, UW",child,,,,,,,Homo sapiens,,,ATCC,released,Homo sapiens Daoy cell line,,ENCBS055ILX
2438,ENCBS812TSZ,38,year,38 years,primary cell,"stimulated activated CD4-positive, alpha-beta T cell","anti-CD3 and anti-CD28 coated beads,Interleukin-4","activation,stimulation",,,,,,/biosamples/ENCBS812TSZ/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,AllCells,released,"Homo sapiens male adult (38 years) stimulated activated CD4-positive, alpha-beta T primary cell treated with anti-CD3 and anti-CD28 coated beads for 48 hours, 100 ng/mL Interleukin-4 for 48 hours",,
2439,ENCBS812WIZ,39,year,39 years,primary cell,"CD4-positive, alpha-beta T cell",Interleukin-1 beta,stimulation,,,,,IL-1B_1h,/biosamples/ENCBS812WIZ/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Shelly Heimfeld,released,"Homo sapiens female adult (39 years) CD4-positive, alpha-beta T primary cell treated with Interleukin-1 beta for 1 hour",,
2440,ENCBS812XJL,unknown,,,primary cell,CD14-positive monocyte,,,,,,2016-11-23,,/biosamples/ENCBS812XJL/,"Manuel Garber, UMass",unknown,,,,,,,Homo sapiens,,,Manuel Garber,released,Homo sapiens CD14-positive monocyte primary cell,,
2441,ENCBS813EAV,115,day,115 days,tissue,muscle of leg,,,,,,,"Leg muscle tissue from a healthy day 115 male fetus from Ian Glass of University of Washington, Congenital Defects Lab.",/biosamples/ENCBS813EAV/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,Ian Glass,released,Homo sapiens male embryo (115 days) muscle of leg tissue,,
2442,ENCBS813RJD,unknown,,,cell line,GM12878,,,,,,,"B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus",/biosamples/ENCBS813RJD/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Coriell,released,Homo sapiens GM12878 cell line,,ENCBS657FSS
2443,ENCBS814ABX,97,day,97 days,primary cell,fibroblast of skin of right quadriceps,,,,,,,"Fetal skin fibroblasts of the right quadricep from a 97 day old healthy donor. Cells provided by Ian Glass of University of Washington, Congenital Defects Lab.",/biosamples/ENCBS814ABX/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,Ian Glass,released,Homo sapiens male embryo (97 days) fibroblast of skin right quadriceps primary cell,,
2444,ENCBS814RMF,42,year,42 years,primary cell,activated T-helper 1 cell,"anti-CD3 and anti-CD28 coated beads,Interleukin-2",activation,,,,,,/biosamples/ENCBS814RMF/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,AllCells,released,"Homo sapiens male adult (42 years) activated T-helper 1 primary cell treated with anti-CD3 and anti-CD28 coated beads for 16 hours, 50 U/mL Interleukin-2 for 16 hours",,
2445,ENCBS814TLB,44,year,44 years,cell line,HT-29,,,,,,,,/biosamples/ENCBS814TLB/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,ATCC,released,Homo sapiens HT-29 cell line,,"ENCBS914HXH,ENCBS668UDT,ENCBS836FPI"
2446,ENCBS815EDC,44,year,44 years,cell line,KBM-7,,,,,,,,/biosamples/ENCBS815EDC/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Haplogen Genomics,released,Homo sapiens KBM-7 cell line,,ENCBS322FGS
2447,ENCBS815MJP,unknown,,,primary cell,dermis microvascular lymphatic vessel endothelial cell,,,,,,,"neonatal lymphatic microvascular endothelial cells, dermal-derived",/biosamples/ENCBS815MJP/,"John Stamatoyannopoulos, UW",unknown,,,,,,,Homo sapiens,,,Lonza,released,Homo sapiens male dermis microvascular lymphatic vessel endothelial primary cell,,ENCBS316AAA
2448,ENCBS815TEQ,unknown,,,primary cell,lung microvascular endothelial cell,,,,,,,"blood microvascular endothelial cells, lung-derived",/biosamples/ENCBS815TEQ/,"John Stamatoyannopoulos, UW",unknown,,,,,,,Homo sapiens,,,Lonza,released,Homo sapiens female lung microvascular endothelial primary cell,,ENCBS318AAA
2449,ENCBS816BKF,37,year,37 years,tissue,transverse colon,,,,,,2015-01-01,EnTEX: Colon - Transverse,/biosamples/ENCBS816BKF/,"Bradley Bernstein, Broad",adult,,,,,,,Homo sapiens,,,Kristin Ardlie,released,Homo sapiens male adult (37 years) transverse colon tissue,,ENCBS990XOM
2450,ENCBS816GCP,105,day,105 days,tissue,heart,,,,,,,"Heart tissue from a healthy day 105 male fetus from Ian Glass of University of Washington, Congenital Defects Lab.",/biosamples/ENCBS816GCP/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,Ian Glass,released,Homo sapiens male embryo (105 days) heart tissue,,
2451,ENCBS816IOP,90 or above,year,90 or above years,tissue,head of caudate nucleus,,,,,,,,/biosamples/ENCBS816IOP/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Rush University,released,Homo sapiens female adult (90 or above years) with mild cognitive impairment; head of caudate nucleus tissue,,
2452,ENCBS816VUN,91,day,91 days,tissue,right kidney,,,,,,,,/biosamples/ENCBS816VUN/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,BDRL,released,Homo sapiens male embryo (91 days) right kidney tissue,,
2453,ENCBS816ZDM,unknown,,,cell line,HG02610,,,,,2017-01-24,,HG02610 LCLs; Donor from the Gambian in Western Divisions in the Gambia (GWD),/biosamples/ENCBS816ZDM/,"Stephen Montgomery, Stanford",adult,,,,,,,Homo sapiens,,,Coriell,released,Homo sapiens HG02610 cell line,,
2454,ENCBS818CQE,33,year,33 years,primary cell,"activated CD8-positive, alpha-beta memory T cell","anti-CD3 and anti-CD28 coated beads,Interleukin-2",activation,,,,,,/biosamples/ENCBS818CQE/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,AllCells,released,"Homo sapiens female adult (33 years) activated CD8-positive, alpha-beta memory T primary cell treated with anti-CD3 and anti-CD28 coated beads for 4 hours, 50 U/mL Interleukin-2 for 4 hours",,
2455,ENCBS818IBE,unknown,,,primary cell,keratinocyte,,,,,,,epidermal keratinocytes,/biosamples/ENCBS818IBE/,"John Stamatoyannopoulos, UW",unknown,,,,,,,Homo sapiens,,,Lonza,released,Homo sapiens female keratinocyte primary cell,,ENCBS591ENC
2456,ENCBS818LNM,117,day,117 days,tissue,heart,,,,,,,"Heart tissue from a healthy day 117 female fetus from Ian Glass of University of Washington, Congenital Defects Lab.",/biosamples/ENCBS818LNM/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,Ian Glass,released,Homo sapiens female embryo (117 days) heart tissue,,
2457,ENCBS818PHQ,89,year,89 years,tissue,posterior cingulate gyrus,,,,,,,,/biosamples/ENCBS818PHQ/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Rush University,released,Homo sapiens female adult (89 years) with Alzheimer's disease; posterior cingulate gyrus tissue,,
2458,ENCBS818QCB,30,year,30 years,primary cell,"naive thymus-derived CD8-positive, alpha-beta T cell",,,,,,2018-08-15,,/biosamples/ENCBS818QCB/,"Yijun Ruan, JAX",adult,,,,,,,Homo sapiens,,,AllCells,released,"Homo sapiens male adult (30 years) naive thymus-derived CD8-positive, alpha-beta T primary cell",,
2459,ENCBS818RAI,58,year,58 years,cell line,A549,,,,,2015-04-20,,,/biosamples/ENCBS818RAI/,"Tim Reddy, Duke",adult,,,,,,,Homo sapiens,,,ATCC,released,Homo sapiens A549 cell line,,"ENCBS664ATC,ENCBS270TGZ"
2460,ENCBS818WCN,105,day,105 days,tissue,right renal cortex interstitium,,,,,,,"Right side kidney renal cortex tissue from a healthy day 105 male fetus from Ian Glass of University of Washington, Congenital Defects Lab.",/biosamples/ENCBS818WCN/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,Ian Glass,released,Homo sapiens male embryo (105 days) right renal cortex interstitium tissue,,
2461,ENCBS819TBN,unknown,,,cell line,H1,,,,,,,H1 (WA01) embryonic stem cells provided by Cellular Dynamics and maintained on mTeSR medium.,/biosamples/ENCBS819TBN/,"Joseph Costello, UCSF",embryonic,,,,,,,Homo sapiens,,,Cellular Dynamics,released,Homo sapiens H1 cell line,,ENCBS570AYT
2462,ENCBS820BQB,unknown,,,in vitro differentiated cells,endodermal cell,,,,,,,CD184+ endoderm differentiated in vitro from HUES64 stem cells Cells were cultured in RPMI 100ng/mL Activin A 50ng/mL Wnt3a media and come from a healthy male embryo provided by Harvard University.,/biosamples/ENCBS820BQB/,"Bradley Bernstein, Broad",embryonic,,,,,,,Homo sapiens,,,Unknown Source,released,Homo sapiens male embryo endodermal in vitro differentiated cells originated from HUES64,,ENCBS302TYA
2463,ENCBS820JNT,90 or above,year,90 or above years,tissue,posterior cingulate gyrus,,,,,,,,/biosamples/ENCBS820JNT/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Rush University,released,Homo sapiens female adult (90 or above years) posterior cingulate gyrus tissue,,
2464,ENCBS821RDX,25,year,25 years,cell line,Calu3,,,,,,,,/biosamples/ENCBS821RDX/,"Mats Ljungman, UMichigan",adult,,,,,,,Homo sapiens,,,ATCC,released,Homo sapiens Calu3 cell line,,ENCBS582MNI
